id,name,status,postal_code,postal_code_old,address,commune_fr,commune_ar,wilaya_code,wilaya_fr,wilaya_ar,lat,lng
1403,SEGGANA,1,05027,,,SEGGANA,سقانة,05,BATNA,باتنة,35.365525,5.5709233
2364,BARIKA BENBAATOUCHE,1,05028,,,BARIKA,بريكة,05,BATNA,باتنة,35.3918961,5.3530229
10623,MEROUANA 8 MAI 45,1,05030,,,MEROUANA,مروانة,05,BATNA,باتنة,35.6288306,5.9132768
1663,AIN YAGOUT,1,05031,,,AIN YAGOUT,عين ياقوت,05,BATNA,باتنة,35.777012,6.4152385
2183,AIN DJASSER,1,05032,,,AIN DJASSER,عين جاسر,05,BATNA,باتنة,35.8590502,6.0016984
1405,MEROUANA HOUARI BOUMEDIENE,1,05034,,,MEROUANA,مروانة,05,BATNA,باتنة,35.6231581,5.9124713
1828,TENIET EL ABED,1,05035,,,TENIET EL ABED,ثنية العابد,05,BATNA,باتنة,35.2531667,6.1980283
1667,OUED TAGA,1,05036,,,OUED TAGA,وادي الطاقة,05,BATNA,باتنة,35.4311713,6.414107
10624,MDOUKAL,1,05037,,,M'DOUKAL,أمدوكال,05,BATNA,باتنة,35.1197601,5.1772871
1823,CHEMORA,1,05039,,,CHEMORA,شمرة,05,BATNA,باتنة,35.6681423,6.6443122
1407,BOUZINA,1,05041,,,BOUZINA,بوزينة,05,BATNA,باتنة,35.2643893,6.0993397
14634,TIFELFEL,1,05043,,,GHASSIRA,غسيرة,05,BATNA,باتنة,35.1167917,6.2321533
10621,MCIL,1,05044,,,OULED SELLAM,أولاد سلام,05,BATNA,باتنة,35.8258365,5.8824907
15113,BITAM,1,05045,,,BITAM,بيطام,05,BATNA,باتنة,35.3127883,5.3735367
1666,MERABTINE,1,05046,,,DJEZZAR,الجزار,05,BATNA,باتنة,35.5073786,5.2650201
10620,EL KSAR,1,05047,,,KSAR BELEZMA,قصر بلزمة,05,BATNA,باتنة,35.6751971,5.9014298
15263,AIN TOUTA 1ER NOV ,1,05048,,,AIN TOUTA,عين التوتة,05,BATNA,باتنة,35.3779984,5.8968933
14635,FOUM TOUB,1,05049,,,FOUM TOUB,فم الطوب,05,BATNA,باتنة,35.4056987,6.5521806
10622,TALKHEMET,1,05051,,,TALKHAMT,تالغمت,05,BATNA,باتنة,35.6681471,5.7917773
10627,BOULHILET,1,05062,,,BOULHILAT,بوالحيلات,05,BATNA,باتنة,35.7244583,6.6612117
10626,SEFIANE,1,05064,,,SEFIANE,سفيان,05,BATNA,باتنة,35.4380783,5.5583217
14645,TOUFFANA,1,05065,,,OULED FADHEL,أولاد فاضل,05,BATNA,باتنة,35.4853307,6.6185799
10625,OULED SIDI SLIMANE,1,05066,,,OULED SI SLIMANE,أولاد سي سليمان,05,BATNA,باتنة,35.6117254,5.6332112
15114,GUIGBA,1,05067,,,GUIGBA,قيقبة,05,BATNA,باتنة,35.7341224,5.5904883
2365,DJERIAT,1,05068,,,GOSBAT,القصبات,05,BATNA,باتنة,35.7110415,5.4646093
15264,HAMOU DAMBRI ,1,05078,,,FESDIS,فسديس,05,BATNA,باتنة,35.6174706,6.246468
15116,RAHBAT,1,05091,,,RAHBAT,الرحبات,05,BATNA,باتنة,35.7126048,5.6551947
10617,ZONE INDIS KECHIDA,1,05109,,,BATNA,باتنة,05,BATNA,باتنة,35.5546479,6.1544779
15136,EL HASSI,1,05116,,,EL HASSI,الحاسي,05,BATNA,باتنة,35.8026577,5.9397146
