id,name,wilaya_code,commune_code,commune,lat,lng,geo_precision,geo_method,source,refs,type,type_label_fr,type_label_ar,address,operator_wilaya
09-012,CSO BENI TAMOU,09,0919,Beni-Tamou,36.5381,2.82306,exact,operator_api,ooredoo,"{""ooredoo"":""1422954""}",CSO,City Shop Ooredoo,متجر أوريدو,en face le centre culturel,Blida
09-013,CSO BENI MERED,09,0921,Beni Mered,36.5253,2.85927,exact,operator_api,ooredoo,"{""ooredoo"":""1422956""}",CSO,City Shop Ooredoo,متجر أوريدو,A côté de la Biobliothèque en face le commissariat,Blida
09-014,ESO000350,09,0921,Beni Mered,36.5264,2.85786,exact,operator_api,ooredoo,"{""ooredoo"":""1422958""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,06 RTE. OUED EL ALLEUIG,Blida
09-015,ESO000230,09,0922,Bougara,36.5422,3.08361,exact,operator_api,ooredoo,"{""ooredoo"":""1422960""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,9 R. OUSSRIR MOHAMED,Blida
09-016,ESO000770,09,0922,Bougara,36.5434,3.08619,exact,operator_api,ooredoo,"{""ooredoo"":""1422962""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,R.ABADE MOHAMED BOUGARA,Blida
09-017,CSO OULED YAICH,09,0905,Ouled Yaich,36.4967,2.86415,exact,operator_api,ooredoo,"{""ooredoo"":""1467355""}",CSO,City Shop Ooredoo,متجر أوريدو,Place Rue Emir Abdelkader Ouled Aich - Blida,Blida
09-018,ESO000705,09,0910,Benkhelil,36.6222,2.8775,exact,operator_api,ooredoo,"{""ooredoo"":""1467379""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,"Centre Ben Chabane local A , Commune de Ben Khellil , Wilaya de Blida",Blida
09-019,ESO000714,09,0923,Guerrouaou,36.5194,2.87569,exact,operator_api,ooredoo,"{""ooredoo"":""1467458""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,CTE 90 Logts bat 4 n° 12,Blida
09-020,EO BOUFARIK,09,0916,Boufarik,36.5738,2.91136,exact,operator_api,ooredoo,"{""ooredoo"":""1467529""}",EO,Espace Ooredoo,فضاء أوريدو,R SOUIDANI Boudjemaa N° 12 Boufarik - Blida,Blida
09-021,EO BLIDA,09,0901,Blida,36.4894,2.84121,exact,operator_api,ooredoo,"{""ooredoo"":""1467531""}",EO,Espace Ooredoo,فضاء أوريدو,124 Av Kritli Mokhtar - BLIDA,Blida
09-022,EO LARBAA,09,0917,Larbaa,36.5655,3.15445,exact,operator_api,ooredoo,"{""ooredoo"":""1467535""}",EO,Espace Ooredoo,فضاء أوريدو,1 R des frères Sahraoui Larabaa - Blida,Blida
10-001,ESO000024,10,1001,Bouira,36.3731,3.89833,exact,operator_api,ooredoo,"{""ooredoo"":""1422966""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,CTE. SAYHA R. FATMA NSOUMER PROPRIETE N11 DIV N64,Bouira
10-002,ESO000162,10,1001,Bouira,36.3775,3.88833,exact,operator_api,ooredoo,"{""ooredoo"":""1422968""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,CTE. 11 LOT N°4 LOCAL N°05,Bouira
10-003,ESO000637,10,1001,Bouira,36.3679,3.87134,exact,operator_api,ooredoo,"{""ooredoo"":""1422970""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,NOUVELLE GARE ROUTIERE AIGOUN MOHAMED N° A 44,Bouira
10-004,ESO000636,10,1013,Lakhdaria,36.565,3.58986,exact,operator_api,ooredoo,"{""ooredoo"":""1422972""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,R. NATIONALE N°05 COPROPRIÉTÉ N°01 LOT 22 LOCALE N°04 RDC,Bouira
10-005,ESO000716,10,1033,Bechloul,36.3121,4.07441,exact,operator_api,ooredoo,"{""ooredoo"":""1422974""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,LOCAL N°4 BECHLOUL CENTRE,Bouira
10-006,ESO000355,10,1035,Ain-Bessem,36.2952,3.67527,exact,operator_api,ooredoo,"{""ooredoo"":""1422976""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,R. COLONEL SI LAKHEDAR,Bouira
10-007,ESO000702,10,1038,Sour El Ghozlane,36.1489,3.69067,exact,operator_api,ooredoo,"{""ooredoo"":""1467381""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,R. MAZANI MOKHTAR N°95,Bouira
10-008,EO BOUIRA,10,1001,Bouira,36.3713,3.89958,exact,operator_api,ooredoo,"{""ooredoo"":""1467533""}",EO,Espace Ooredoo,فضاء أوريدو,"Ain Graouech, Div 86 Grp 25 - BOUIRA",Bouira
11-001,ESO000357,11,1101,Tamanrasset,22.7856,5.51658,exact,operator_api,ooredoo,"{""ooredoo"":""1467839""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,R. GUET EL OUED,Tamanrasset
11-002,EO TAMANRASSET,11,1101,Tamanrasset,22.7878,5.52806,exact,operator_api,ooredoo,"{""ooredoo"":""1467841""}",EO,Espace Ooredoo,فضاء أوريدو,Legssar Elfougani - TAMANRASSET,Tamanrasset
12-001,ESO000521,12,1201,Tebessa,35.4011,8.10528,exact,operator_api,ooredoo,"{""ooredoo"":""1422980""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,CTE. 04 MARS 1956,Tebessa
12-002,ESO000531,12,1203,Cheria,35.2667,7.75,exact,operator_api,ooredoo,"{""ooredoo"":""1422984""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,LOT COMMUNAL LE PLEIN AIR N°99,Tebessa
12-003,ESO000573,12,1210,Bir Mokkadem,35.4499,7.9511,exact,operator_api,ooredoo,"{""ooredoo"":""1422986""}",ESO,Espace Services Ooredoo,فضاء خدمات أوريدو,CTE. ZEGHLAMI  MOUSSI LOT 71 COPROPRIETE 97,Tebessa
